algorithm,scenario,trial,duration_seconds,seed,admission_rate,good_avg_latency_us,good_p99_latency_us,good_p50_latency_us,noisy_avg_latency_us,noisy_p99_latency_us,fairness_score,total_throughput,noisy_share,good_throughput,noisy_throughput,throttled_requests,cache_utilization
No Control (Baseline),5T_25x_Noisy,47,0.0014750957489013672,139,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.099609375
No Control (Baseline),5T_25x_Noisy,48,0.001355886459350586,140,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,49,0.0014810562133789062,141,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_SmallCache,0,0.0012691020965576172,142,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,1,0.0012710094451904297,143,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,2,0.0011370182037353516,144,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,3,0.0012481212615966797,145,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,4,0.0018911361694335938,146,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,5,0.001302957534790039,147,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,6,0.0012750625610351562,148,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,7,0.0013360977172851562,149,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
