algorithm,scenario,trial,duration_seconds,seed,completion_rate,crash_rate,jobs_completed,jobs_crashed,avg_utilization,max_utilization,avg_remote_fraction,remote_job_fraction,avg_exec_time_us,p99_exec_time_us,avg_stranded_memory_gb
Balanced Borrow (Invention),8N_LargeJobs,24,0.007325887680053711,666,1.0,0.0,50.0,0.0,0.38211950576060805,0.7361836910970303,0.030634884453238687,0.08,1033.6,2031.1799999999978,3.387137450216661
Balanced Borrow (Invention),8N_LargeJobs,25,0.007524728775024414,667,1.0,0.0,50.0,0.0,0.38576267673680686,0.8156454092564237,0.033547125622634025,0.16,1037.12,2115.5399999999972,2.314923239288854
Balanced Borrow (Invention),8N_LargeJobs,26,0.007504940032958984,668,1.0,0.0,50.0,0.0,0.3880028226591568,0.8641813597719161,0.053353379080685596,0.2,1060.08,2392.1199999999994,2.7789341375662953
Balanced Borrow (Invention),8N_LargeJobs,27,0.0073430538177490234,669,1.0,0.0,50.0,0.0,0.3809581009334528,0.8468967289902812,0.08392769568185011,0.18,1105.18,2507.4999999999995,2.254638863756752
Balanced Borrow (Invention),8N_LargeJobs,28,0.007303953170776367,670,1.0,0.0,50.0,0.0,0.38547421452176023,0.879153546742012,0.09788377727424884,0.24,1116.9,2140.79,0.8652376245429919
Balanced Borrow (Invention),8N_LargeJobs,29,0.007309675216674805,671,1.0,0.0,50.0,0.0,0.38457874910655854,0.8532627529527548,0.06432900481940118,0.16,1062.14,2021.829999999999,5.879668745707635
Balanced Borrow (Invention),8N_LargeJobs,30,0.007099151611328125,672,1.0,0.0,50.0,0.0,0.38313401090549654,0.9049786976104215,0.034961869890833795,0.08,1014.32,1780.9499999999985,4.161043298444267
Balanced Borrow (Invention),8N_LargeJobs,31,0.007295370101928711,673,1.0,0.0,50.0,0.0,0.3879891314161915,0.8174735160036259,0.07565882425898537,0.16,1100.1,1767.8699999999994,2.468442785077008
Balanced Borrow (Invention),8N_LargeJobs,32,0.007333040237426758,674,1.0,0.0,50.0,0.0,0.3974955065746158,0.7808461652102804,0.011983298573865646,0.12,1048.9,1504.0999999999997,3.1491977634490658
Balanced Borrow (Invention),8N_LargeJobs,33,0.007217884063720703,675,1.0,0.0,50.0,0.0,0.38336134139095474,0.7982889024035221,0.032378520185737114,0.06,1003.94,1879.1599999999992,4.981321704377786
Balanced Borrow (Invention),8N_LargeJobs,34,0.0074808597564697266,676,1.0,0.0,50.0,0.0,0.3877927970724634,0.8582315936940699,0.08844283258210815,0.24,1099.4,2048.1299999999997,1.7744352115542248
Balanced Borrow (Invention),8N_LargeJobs,35,0.007416963577270508,677,1.0,0.0,50.0,0.0,0.384656704844981,0.9121882862506373,0.08281172596995283,0.18,1127.28,2051.2,4.886329613675656
Balanced Borrow (Invention),8N_LargeJobs,36,0.007594108581542969,678,1.0,0.0,50.0,0.0,0.3855217810595178,0.9500469245087654,0.036630778064749375,0.12,1015.64,1902.0299999999984,4.329584690609733
Balanced Borrow (Invention),8N_LargeJobs,37,0.007214784622192383,679,1.0,0.0,50.0,0.0,0.38824098502864646,0.7087317217521306,0.04432008014675987,0.2,1080.02,2068.459999999998,4.872492210329966
Balanced Borrow (Invention),8N_LargeJobs,38,0.007261991500854492,680,1.0,0.0,50.0,0.0,0.3801022813377315,0.8191064065697666,0.08713869126304223,0.2,1015.0,2033.4999999999982,4.471946220541737
Balanced Borrow (Invention),8N_LargeJobs,39,0.007150173187255859,681,1.0,0.0,50.0,0.0,0.3846879525813308,0.7292599216654465,0.05077193276694185,0.14,1070.96,1674.5699999999995,2.680543838283005
